text,label
enhanced S-cone syndrome is not a vitreoretinal degeneration,False
metronidazole treats crohn's disease,True
KLEEFSTRA SYNDROME 1 is not associated with Gene EHMT1,False
Juvenile polyposis syndrome associates Gene SMAD4,True
Disease ontology identifier for congenital generalized lipodystrophy type 2 is DOID:10588,False
Disease ontology identifier for Marfan syndrome is DOID:0060055,False
cystic fibrosis is a respiratory system disorder,True
alpha-Mannosidosis associates Gene MAN2B1,True
Wolcott-Rallison syndrome associates Gene EIF2AK3,True
Neurofibromatosis 2 is not associated with Gene NF2,False
Angelman syndrome is a syndromic disease,True
colchicine treats familial mediterranean fever,True
Marfan Syndrome associates Gene FBN1,True
Mowat-Wilson syndrome is a syndromic intellectual disability,True
mulibrey nanism is a syndromic disease,True
Disease ontology identifier for pheochromocytoma is DOID:14692,False
Tangier Disease is not associated with Gene ABCA1,False
Disease ontology identifier for central diabetes insipidus is DOID:350,False
Ulnar-mammary syndrome is not associated with Gene TBX3,False
bevacizumab treats hereditary hemorrhagic telangiectasia,True
Liver carcinoma is not associated with Gene MET,False
Antithrombin III Deficiency is not associated with Gene SERPINC1,False
Mastocytosis is not associated with Gene KIT,False
Disease ontology identifier for Farber lipogranulomatosis is DOID:0050464,True
Familial Mediterranean Fever associates Gene MEFV,True
Disease ontology identifier for Wiskott-Aldrich syndrome is DOID:9169,True
Tay-Sachs disease is not a eye degenerative disorder,False
Juvenile Myoclonic Epilepsy is not associated with Gene EFHC1,False
Costello syndrome (disorder) is not associated with Gene HRAS,False
Very long chain acyl-CoA dehydrogenase deficiency is not associated with Gene ACADVL,False
Wolman disease is a lysosomal acid lipase deficiency,True
Fibrodysplasia Ossificans Progressiva associates Gene ACVR1,True
Canavan Disease associates Gene ASPA,True
Chediak-Higashi syndrome is a congenital nervous system disorder,True
Hereditary hemorrhagic telangiectasia associates Gene ENG,True
Lafora Disease is not associated with Gene NHLRC1,False
Pheochromocytoma is not associated with Gene RET,False
"Xeroderma pigmentosum, group B associates Gene ERCC3",True
Acute intermittent porphyria is not associated with Gene HMBS,False
piebaldism is a autosomal dominant disease,True
vitelliform macular dystrophy is not a macular degeneration,False
Spinocerebellar Ataxia Type 5 associates Gene SPTBN2,True
Disease ontology identifier for Pelizaeus-Merzbacher disease is DOID:5688,False
"Robinow syndrome, autosomal recessive associates Gene ROR2",True
Disease ontology identifier for Loeys-Dietz syndrome is DOID:0060745,False
Cystic Fibrosis associates Gene CFTR,True
Greig cephalopolysyndactyly syndrome associates Gene GLI3,True
alkaptonuria is not a disorder of tyrosine metabolism,False
Timothy syndrome associates Gene CACNA1C,True
Unverricht-Lundborg syndrome is a movement disorder,True
Denys-Drash syndrome is a autosomal dominant disease,True
factor ix treats hemophilia b,True
Mucopolysaccharidosis VI associates Gene ARSB,True
"HEMOCHROMATOSIS, TYPE 4 associates Gene SLC40A1",True
"Charcot-Marie-Tooth Disease, Type Ib associates Gene MPZ",True
Disease ontology identifier for Timothy syndrome is DOID:0060173,True
Denys-Drash Syndrome is not associated with Gene WT1,False
Cherubism associates Gene SH3BP2,True
PITT-HOPKINS SYNDROME is not associated with Gene TCF4,False
Greig cephalopolysyndactyly syndrome is not a syndromic disease,False
Paroxysmal Nonkinesigenic Dyskinesia 1 is not associated with Gene PNKD,False
Enhanced S-Cone Syndrome is not associated with Gene NR2E3,False
Canavan disease is a inborn aminoacylase deficiency,True
Episodic ataxia type 2 (disorder) is not associated with Gene CACNA1A,False
Aniridia is not associated with Gene PAX6,False
Congenital contractural arachnodactyly associates Gene FBN2,True
Muenke Syndrome associates Gene FGFR3,True
Carney complex is a autosomal dominant disease,True
Borjeson-Forssman-Lehmann syndrome is not a X-linked syndromic intellectual disability,False
Johanson-Blizzard syndrome associates Gene UBR1,True
MASA SYNDROME (disorder) is not associated with Gene L1CAM,False
Autosomal dominant hypophosphatemic rickets associates Gene FGF23,True
Acrodermatitis enteropathica associates Gene SLC39A4,True
Rothmund-Thomson syndrome is not associated with Gene RECQL4,False
Cleidocranial Dysplasia associates Gene RUNX2,True
LONG QT SYNDROME 3 associates Gene SCN5A,True
Infantile hypophosphatasia associates Gene ALPL,True
acrodermatitis enteropathica is not a inborn metal metabolism disorder,False
Ataxia Telangiectasia associates Gene ATM,True
alpha-galactosidase treats fabry disease,True
